Lap,Times OB,Laptime (s) OB,Cumulative Racetime (s) OB,,Times EO,Laptime (s) EO,Cumulative Racetime (s) EO,,Delta (s),,87 Ollie BEARMAN ,31 Esteban OCON,,,,,,,,,,,,,,,,,,
1,2:16.342,136.34,136.34,,1:54.646,114.646,114.646,,-21.696,,LAP TIME,LAP TIME,,,,,,,,,,,,,,,,,,
2,2:17.120,137.12,273.46,,2:20.933,140.933,255.579,,-17.883,,2:16.342,1:54.646,,,,,,,,,,,,,,,,,,
3,2:17.209,137.21,410.67,,2:15.573,135.573,391.152,,-19.519,,2:17.120,2:20.933,,,,,,,,,,,,,,,,,,
4,1:51.955,111.96,522.63,,1:46.266,106.266,497.418,,-25.208,,2:17.209,2:15.573,,,,,,,,,,,,,,,,,,
5,2:00.293,120.29,642.92,,1:52.165,112.165,609.583,,-33.336,,1:51.955,1:46.266,,,,,,,,,,,,,,,,,,
6,2:17.467,137.47,780.39,,2:15.737,135.737,745.32,,-35.066,,2:00.293,1:52.165,,,,,,,,,,,,,,,,,,
7,1:51.212,111.21,891.60,,2:01.435,121.435,866.755,,-24.843,,2:17.467,2:15.737,,,,,,,,,,,,,,,,,,
8,1:44.011,104.01,995.61,,1:47.293,107.293,974.048,,-21.561,,1:51.212,2:01.435,,,,,,,,,,,,,,,,,,
9,1:42.431,102.43,1098.04,,1:49.361,109.361,1083.409,,-14.631,,1:44.011,1:47.293,,,,,,,,,,,,,,,,,,
10,1:43.208,103.21,1201.25,,1:49.770,109.77,1193.179,,-8.069,,1:42.431,1:49.361,,,,,,,,,,,,,,,,,,
11,2:08.816,128.82,1330.06,,1:51.866,111.866,1305.045,,-25.019,,1:43.208,1:49.770,,,,,,,,,,,,,,,,,,
12,1:48.510,108.51,1438.57,,1:50.786,110.786,1415.831,,-22.743,,2:08.816,1:51.866,,,,,,,,,,,,,,,,,,
13,1:58.712,118.71,1557.29,,2:00.169,120.169,1536,,-21.286,,1:48.510,1:50.786,,,,,,,,,,,,,,,,,,
14,2:16.851,136.85,1694.14,,2:16.497,136.497,1672.497,,-21.640,,1:58.712,2:00.169,,,,,,,,,,,,,,,,,,
15,2:17.133,137.13,1831.27,,2:27.377,147.377,1819.874,,-11.396,,2:16.851,2:16.497,,,,,,,,,,,,,,,,,,
16,2:44.532,164.53,1995.80,,2:45.222,165.222,1985.096,,-10.706,,2:17.133,2:27.377,,,,,,,,,,,,,,,,,,
17,2:48.472,168.47,2164.27,,2:53.176,173.176,2158.272,,-6.002,,2:44.532,2:45.222,,,,,,,,,,,,,,,,,,
18,2:11.242,131.24,2295.52,,2:03.452,123.452,2281.724,,-13.792,,2:48.472,2:53.176,,,,,,,,,,,,,,,,,,
19,2:31.766,151.77,2447.28,,2:46.955,166.955,2448.679,,1.397,,2:11.242,2:03.452,,,,,,,,,,,,,,,,,,
20,2:44.405,164.41,2611.69,,2:44.506,164.506,2613.185,,1.498,,2:31.766,2:46.955,,,,,,,,,,,,,,,,,,
21,2:33.813,153.81,2765.50,,2:32.569,152.569,2765.754,,0.254,,2:44.405,2:44.506,,,,,,,,,,,,,,,,,,
22,1:54.756,114.76,2880.26,,1:52.940,112.94,2878.694,,-1.562,,2:33.813,2:32.569,,,,,,,,,,,,,,,,,,
23,1:47.955,107.96,2988.21,,1:45.993,105.993,2984.687,,-3.524,,1:54.756,1:52.940,,,,,,,,,,,,,,,,,,
24,1:45.308,105.31,3093.52,,1:44.602,104.602,3089.289,,-4.230,,1:47.955,1:45.993,,,,,,,,,,,,,,,,,,
25,1:44.627,104.63,3198.15,,1:44.235,104.235,3193.524,,-4.622,,1:45.308,1:44.602,,,,,,,,,,,,,,,,,,
26,1:43.157,103.16,3301.30,,1:44.236,104.236,3297.76,,-3.543,,1:44.627,1:44.235,,,,,,,,,,,,,,,,,,
27,1:42.738,102.74,3404.04,,1:43.925,103.925,3401.685,,-2.356,,1:43.157,1:44.236,,,,,,,,,,,,,,,,,,
28,1:43.912,103.91,3507.95,,1:44.874,104.874,3506.559,,-1.394,,1:42.738,1:43.925,,,,,,,,,,,,,,,,,,
29,1:44.926,104.93,3612.88,,1:45.498,105.498,3612.057,,-0.822,,1:43.912,1:44.874,,,,,,,,,,,,,,,,,,
30,1:44.269,104.27,3717.15,,1:46.803,106.803,3718.86,,1.712,,1:44.926,1:45.498,,,,,,,,,,,,,,,,,,
31,1:44.000,104.00,3821.15,,1:44.509,104.509,3823.369,,2.221,,1:44.269,1:46.803,,,,,,,,,,,,,,,,,,
32,1:43.978,103.98,3925.13,,1:43.911,103.911,3927.28,,2.154,,1:44.000,1:44.509,,,,,,,,,,,,,,,,,,
33,1:43.937,103.94,4029.06,,1:43.970,103.97,4031.25,,2.187,,1:43.978,1:43.911,,,,,,,,,,,,,,,,,,
34,1:43.948,103.95,4133.01,,1:44.039,104.039,4135.289,,2.278,,1:43.937,1:43.970,,,,,,,,,,,,,,,,,,
35,1:44.439,104.44,4237.45,,1:43.436,103.436,4238.725,,1.275,,1:43.948,1:44.039,,,,,,,,,,,,,,,,,,
36,1:42.937,102.94,4340.39,,1:42.888,102.888,4341.613,,1.226,,1:44.439,1:43.436,,,,,,,,,,,,,,,,,,
37,1:43.169,103.17,4443.56,,1:42.966,102.966,4444.579,,1.023,,1:42.937,1:42.888,,,,,,,,,,,,,,,,,,
38,1:42.626,102.63,4546.18,,1:42.672,102.672,4547.251,,1.069,,1:43.169,1:42.966,,,,,,,,,,,,,,,,,,
39,1:42.278,102.28,4648.46,,1:42.059,102.059,4649.31,,0.850,,1:42.626,1:42.672,,,,,,,,,,,,,,,,,,
40,1:42.278,102.28,4750.74,,1:41.975,101.975,4751.285,,0.547,,1:42.278,1:42.059,,,,,,,,,,,,,,,,,,
41,1:39.875,99.88,4850.61,,1:42.031,102.031,4853.316,,2.703,,1:42.278,1:41.975,,,,,,,,,,,,,,,,,,
42,2:04.956,124.96,4975.57,,1:39.944,99.944,4953.26,,-22.309,,1:39.875,1:42.031,,,,,,,,,,,,,,,,,,
43,1:42.511,102.51,5078.08,,2:12.286,132.286,5085.546,,7.466,,2:04.956,1:39.944,,,,,,,,,,,,,,,,,,
44,1:34.874,94.87,5172.95,,1:36.001,96.001,5181.547,,8.593,,1:42.511,2:12.286,,,,,,,,,,,,,,,,,,
45,1:33.735,93.74,5266.69,,1:32.673,92.673,5274.22,,7.531,,1:34.874,1:36.001,,,,,,,,,,,,,,,,,,
46,1:32.102,92.10,5358.79,,1:32.560,92.56,5366.78,,7.989,,1:33.735,1:32.673,,,,,,,,,,,,,,,,,,
47,1:32.098,92.10,5450.89,,1:31.422,91.422,5458.202,,7.313,,1:32.102,1:32.560,,,,,,,,,,,,,,,,,,
48,1:31.041,91.04,5541.93,,1:30.823,90.823,5549.025,,7.095,,1:32.098,1:31.422,,,,,,,,,,,,,,,,,,
49,1:31.273,91.27,5633.20,,1:30.948,90.948,5639.973,,6.770,,1:31.041,1:30.823,,,,,,,,,,,,,,,,,,
50,1:30.921,90.92,5724.12,,1:31.216,91.216,5731.189,,7.065,,1:31.273,1:30.948,,,,,,,,,,,,,,,,,,
51,1:31.121,91.12,5815.25,,1:31.029,91.029,5822.218,,6.973,,1:30.921,1:31.216,,,,,,,,,,,,,,,,,,
52,1:32.585,92.59,5907.83,,1:30.818,90.818,5913.036,,5.206,,1:31.121,1:31.029,,,,,,,,,,,,,,,,,,
